epoch,kl_w,train_sigma,train_mse,train_perc,train_kl,val_sigma,val_mse,val_perc,val_kl
0,0.0,-62689.42607,0.1116532,0.34616,31496.99141,-78541.60434,0.04448535,0.24832,14282.71355
1,0.1,-83754.24677,0.03646533,0.22768,5745.70618,-87619.70694,0.03120601,0.2169,4472.72785
2,0.2,-90415.11378,0.02792975,0.20331,3152.03772,-93061.64264,0.02507643,0.19258,2765.90351
3,0.3,-94808.8893,0.02337198,0.18519,2233.97724,-96822.15571,0.02165802,0.1792,2026.07671
4,0.4,-97161.34464,0.02130213,0.17648,1786.43089,-98484.7225,0.02031012,0.17254,1630.3235
5,0.5,-98872.67851,0.01994908,0.17062,1524.12525,-99425.29372,0.01952963,0.17017,1406.16988
6,0.6,-100078.45208,0.01905699,0.16657,1354.90474,-100589.66023,0.01872732,0.16596,1287.98743
7,0.7,-100802.1341,0.01853833,0.16383,1239.98589,-101009.71692,0.01844355,0.16357,1200.93136
8,0.8,-101464.00373,0.01809062,0.16159,1157.1341,-102007.6888,0.01779156,0.16019,1134.64629
9,0.9,-102032.13284,0.01772012,0.15974,1088.72742,-101815.76119,0.0178868,0.16206,1082.58823
10,1.0,-102337.95873,0.0175223,0.15838,1037.84215,-102339.67085,0.01757496,0.15808,1018.54777
11,1.0,-102806.21374,0.01722906,0.15689,1015.71291,-102489.83339,0.01747467,0.15686,996.58574
12,1.0,-103101.35932,0.01704342,0.15581,999.82991,-102308.72027,0.0175651,0.15813,990.1269
13,1.0,-103416.93515,0.01685275,0.15464,988.71307,-103219.46123,0.01703648,0.15528,976.70692
14,1.0,-103737.63783,0.01666196,0.15364,978.69939,-103044.0786,0.01712363,0.15758,972.20591
15,1.0,-103932.69417,0.01654322,0.15284,970.03002,-103398.78956,0.01692564,0.15486,975.90623
16,1.0,-104145.53057,0.01641453,0.15203,965.02909,-103233.23698,0.01700704,0.15714,957.65911
17,1.0,-104385.42571,0.01627341,0.1512,960.53704,-103543.35763,0.01683493,0.15392,952.25831
18,1.0,-104552.40495,0.01617363,0.15056,955.79901,-103459.78578,0.01685968,0.15301,941.84705
19,1.0,-104780.83646,0.01604258,0.14982,951.85967,-103636.59653,0.01677161,0.15236,945.02342
